point_id,t,z,x,y,amplitude,background,index,kind
1,0,0.0,18.5,22.0,280.0,58.0,0,maxima
2,0,1.0,39.5,39.0,305.0,58.0,1,minima
3,0,2.0,60.5,56.0,330.0,58.0,2,maxima
4,0,3.0,81.5,73.0,355.0,58.0,3,minima
5,0,4.0,102.5,90.0,380.0,58.0,4,maxima
6,1,1.0,18.85,22.45,290.0,58.5,0,maxima
7,1,2.0,39.85,39.45,315.0,58.5,1,minima
8,1,3.0,60.85,56.45,340.0,58.5,2,maxima
9,1,4.0,81.85,73.45,365.0,58.5,3,minima
10,1,5.0,102.85,90.45,390.0,58.5,4,maxima
11,2,2.0,19.2,22.9,300.0,59.0,0,maxima
12,2,3.0,40.2,39.9,325.0,59.0,1,minima
13,2,4.0,61.2,56.9,350.0,59.0,2,maxima
14,2,5.0,82.2,73.9,375.0,59.0,3,minima
15,2,6.0,103.2,90.9,400.0,59.0,4,maxima
16,3,3.0,19.55,23.35,310.0,59.5,0,maxima
17,3,4.0,40.55,40.35,335.0,59.5,1,minima
18,3,5.0,61.55,57.35,360.0,59.5,2,maxima
19,3,6.0,82.55,74.35,385.0,59.5,3,minima
20,3,0.0,103.55,91.35,410.0,59.5,4,maxima
21,4,4.0,19.9,23.8,320.0,60.0,0,maxima
22,4,5.0,40.9,40.8,345.0,60.0,1,minima
23,4,6.0,61.9,57.8,370.0,60.0,2,maxima
24,4,0.0,82.9,74.8,395.0,60.0,3,minima
25,4,1.0,103.9,91.8,420.0,60.0,4,maxima
