track_id,t,x,y
1,0,14.011,71.178
1,1,11.707,69.107
1,2,10.273,66.676
1,3,8.089,66.167
1,4,4.195,62.531
1,5,1.187,59.935
1,6,0.0,58.599
1,7,0.0,56.487
1,8,0.0,56.01
1,9,0.0,53.128
2,0,64.062,106.582
2,1,62.793,104.903
2,2,62.869,102.811
2,3,61.891,101.47
2,4,61.466,100.013
2,5,61.111,98.049
2,6,60.52,97.542
2,7,60.748,95.834
2,8,59.619,93.794
2,9,58.869,92.691
3,0,99.973,100.992
3,1,99.915,101.345
3,2,100.902,104.249
3,3,100.429,104.171
3,4,101.091,106.19
3,5,101.437,107.064
3,6,102.097,107.75
3,7,102.207,108.458
3,8,103.508,110.848
3,9,103.623,111.692
4,0,27.402,45.799
4,1,28.242,47.478
4,2,29.33,49.508
4,3,30.392,52.022
4,4,30.287,54.883
4,5,32.073,55.648
4,6,31.632,58.255
4,7,33.707,59.831
4,8,34.455,61.952
4,9,35.146,64.425
5,0,115.333,40.3
5,1,114.197,41.652
5,2,113.904,43.106
5,3,112.89,45.932
5,4,111.085,48.085
5,5,110.13,49.58
5,6,108.785,50.474
5,7,107.418,53.513
5,8,106.207,54.519
5,9,105.083,56.874
6,0,30.032,44.999
6,1,30.067,46.017
6,2,28.077,47.544
6,3,27.563,50.855
6,4,25.934,53.087
6,5,22.575,54.093
6,6,21.759,56.341
6,7,20.947,58.045
6,8,19.49,60.916
6,9,17.357,62.117
